"event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","population_best","Actor_Type"
"UKR90014",2023-01-17,2023,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Zaporizhia","Melitopolskyi","Melitopolska","Melitopol",46.8489,35.3653,1,"24 Channel","National","On 17 January 2023, the Chechen Battalion of Ramzan Kadyrov attacked 2 journalists of the Russian NTV channel in Melitopol, Zaporizhia. The journalists were beaten; the female-reporter also suffered sexual violence.",0,NA,1675798463,9340,"External/Other Forces"
"UKR87446",2023-01-09,2023,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Zaporizhia","Melitopolskyi","Melitopolska","Melitopol",46.8489,35.3653,1,"Unian","National","Around 9 January 2023 (week of), a Russian soldier raped an underage girl in Melitopol, Zaporizhia region. There is no indication that he was held responsible for the offence.",0,"women targeted: girls",1673986322,9340,"External/Other Forces"
"UKR115605",2022-08-30,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Iziumskyi","Iziumska","Izium",49.2088,37.2485,2,"ZMINA","Other","Around 30 August 2022 (week of), a Russian soldier offered help to a civilian family who ran out of fuel and was stuck on the road near Izium, Kharkiv, lured them into his yard, injured the man and attempted to rape the woman.",0,NA,1693927402,12784,"External/Other Forces"
"UKR100095",2022-08-21,2022,1,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Zaporizhia","Melitopolskyi","Melitopolska","Melitopol",46.8489,35.3653,1,"Insecurity Insight","International","On 21 August 2022, a Russian soldier reportedly attempted to rape a Ukrainian girl in the street in Melitopol, Zaporizhia. However, he was reportedly stopped by Ukrainian civilians who attacked him.",0,"women targeted: girls",1682436934,10092,"External/Other Forces"
"UKR100106",2022-07-28,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Luhansk","Sievierodonetskyi","Lysychanska","Pryvillia",48.9998,38.3016,2,"Bellingcat; Insecurity Insight","Regional-International","Around 28 July 2022, a Russian soldier of the Kadyrov's Chechen Battalion castrated and then shot dead a captured Ukrainian soldier near a sanatorium in the area of Pryvillia, Luhansk. The videos of torture first appeared on a pro-Russian Telegram channel on 28 July.",1,NA,1682436934,1432,"External/Other Forces"
"UKR65375",2022-07-20,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Luhansk","Luhanskyi","Luhanska","Luhansk",48.567,39.3171,1,"24 Channel","National","Around 20 July 2022 (between 13 - 27 July), a Russian soldier or a group of soldiers raped and killed 8 civilian women in Luhansk, Luhansk region.",8,NA,1659462991,182528,"External/Other Forces"
"UKR65417",2022-07-13,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Zaporizhia","Melitopolskyi","Melitopolska","Melitopol",46.8489,35.3653,1,"Unian","National","Around 13 July 2022 (between 27 June - 27 July), a 13-years-old girl was raped and killed in Melitopol, Zaporizhia region. The body was found on July 27. The victim's family suspects Russian soldiers.",1,"women targeted: girls",1659462993,104593,"External/Other Forces"
"UKR76998",2022-07-10,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Iziumskyi","Iziumska","Izium",49.2088,37.2485,1,"ZMINA","Other","Around 10 July 2022 (week of), Russian soldiers abducted a woman in Izium, Kharkiv region, tortured her with electric current and repeatedly raped her, while holding in captivity for 10 days.",0,NA,1666712173,12784,"External/Other Forces"
"UKR78907",2022-07-01,2022,3,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Iziumskyi","Iziumska","Izium",49.2088,37.2485,1,"HRW; Kharkiv Human Rights Protection Group","Other","Around 1 July 2022 (beginning of month), Russian forces illegally detained, tortured and raped for 10 days a female civilian in Izium, Kharkiv region. She was later released. Her husband was also detained and tortured.",0,NA,1681851847,12784,"External/Other Forces"
"UKR106279",2022-07-01,2022,2,"Political violence","Violence against civilians","Sexual violence","Military Forces of Russia (2000-)",NA,8,78,"Civilian targeting",804,"Europe","Ukraine","Kharkiv","Iziumskyi","Iziumska","Izium",49.2088,37.2485,1,"DIGNITY","International","Around 1 July 2022 (week of), Russian forces detained a woman in Izium, Kharkiv region, and held her captive for 10 days, subjecting her to rape and electric shocks.",0,NA,1686674856,12784,"External/Other Forces"
